ID,RA,DEC,g_auto,e_g_auto,r_auto,e_r_auto,radius,ab_ratio,i_auto,e_i_auto,PROB_GAL,zml,s2n_DET_auto
DR4_3_SPLUS-s21s31_0029826,331.97669989665496,-26.858919584107515,17.495065689086914,0.018461596220731735,17.04817008972168,0.013937745243310928,0.0008720533223822713,1.6824188232421875,16.75895118713379,0.015454323031008244,1.0,0.05824999883770943,120.32440948486328
DR4_3_SPLUS-s21s31_0030191,331.66302083945607,-26.88073452983642,15.769163131713867,0.01347331516444683,15.214661598205566,0.009207076393067837,0.0023959516547620296,1.1570377349853516,14.960597038269043,0.010791433043777943,0.99,0.027416666969656944,169.6334991455078
DR4_3_SPLUS-s21s31_0030202,331.5012941761088,-26.88406994787725,12.165109634399414,0.10788361728191376,11.883350372314453,0.06046510860323906,0.0014183329185470939,1.143740177154541,12.180872917175293,0.08246651291847229,0.99,-0.0017500000540167093,53.410823822021484
DR4_3_SPLUS-s21s31_0030220,330.76959435494337,-26.846122969303128,17.46566390991211,0.018807465210556984,16.572582244873047,0.009592104703187943,0.0007682288414798677,1.1739256381988525,16.185178756713867,0.009948920458555222,1.0,0.06683333218097687,163.2930908203125
DR4_3_SPLUS-s21s31_0030243,331.47206830631615,-26.873918109309702,12.582128524780273,0.11244221031665802,12.372882843017578,0.09618246555328369,0.0015890594804659486,1.9242604970932007,12.275790214538574,0.1504950225353241,0.95,0.003916666842997074,12.351353645324707
DR4_3_SPLUS-s21s31_0030271,330.62568243886585,-26.843161070909158,19.01592445373535,0.036235030740499496,18.155460357666016,0.0190438162535429,0.0003875320835504681,1.3539983034133911,17.701622009277344,0.018692199140787125,1.0,0.09941666573286057,85.29035949707031
DR4_3_SPLUS-s21s31_0032708,331.2150408774239,-26.782889996118662,17.784473419189453,0.04314088448882103,17.321876525878906,0.031138069927692413,0.0010732925729826093,1.9901421070098877,17.211502075195312,0.0416991263628006,1.0,0.029083333909511566,48.049049377441406
DR4_3_SPLUS-s21s31_0033219,330.95964544067675,-26.76537305810968,18.24081039428711,0.0308292955160141,17.33037757873535,0.015346972271800041,0.0005877141375094652,1.0347479581832886,16.925626754760742,0.015613561496138573,0.99,0.09841666370630264,103.56412506103516
DR4_3_SPLUS-s21s31_0033449,331.6967725708586,-26.760612819759668,17.556293487548828,0.02295241318643093,16.989212036132812,0.015554619953036308,0.0011262636398896575,2.0906341075897217,16.686275482177734,0.01723616197705269,1.0,0.05783333256840706,105.1765365600586
DR4_3_SPLUS-s21s31_0033795,330.67853416819804,-26.748637740476685,18.62265968322754,0.040883541107177734,18.20768928527832,0.03146708011627197,0.0006302048568613827,1.633482813835144,17.925853729248047,0.03680333495140076,1.0,0.06291666626930237,52.144901275634766
DR4_3_SPLUS-s21s31_0035427,331.4349609980356,-26.71066403648097,18.50112533569336,0.033097442239522934,18.067110061645508,0.025089707225561142,0.0005571977235376835,1.7095773220062256,17.989465713500977,0.03401937708258629,1.0,0.027166666463017464,62.980010986328125
DR4_3_SPLUS-s21s31_0036861,331.0856217236221,-26.681133808902917,17.452924728393555,0.019560551270842552,17.00999641418457,0.014615125954151154,0.0010947003029286861,2.459761381149292,16.84837532043457,0.018530555069446564,1.0,0.028999999165534973,108.61311340332031
