,recno,HIPASS,RAJ2000,DEJ2000,TType,Dist,r_Dist,OMatch,VelHI,Spk,Sint,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,f_W3mag,e_W3mag,W4mag,e_W4mag,f_W4mag,R1iso,R2iso,R3iso,R4iso,ba,PA,W1-W2,e_W1-W2,W2-W3,e_W2-W3,W1-W2c,W2-W3c,logLW1,e_logLW1,logLW2,e_logLW2,logLW3,e_logLW3,logLW4,e_logLW4,logLW1in,e_logLW1in,W1flux,W2flux,w3PaH,w4dust,logM*,e_logM*,logMHI,e_logMHI,logSFR,e_logSFR,logSFE,e_logSFE,T16
2466,1982,J1317-31,199.26582,-31.58909,4.0,38.44,1,2,2376.3,0.0461,2.0,11.85,0.01,11.83,0.03,9.48,10.0,0.12,7.67,0.25,0.0,39.0,,,,0.93,83.7,0.02,0.03,2.08,0.09,0.01,2.44,8.353,0.01,7.96,0.015,7.68,0.05,7.58,0.1,9.71,0.01,5.47,3.04,4.02,6.34,9.52,0.12,8.84,0.16,-0.96,0.06,-9.8,0.17,0
2467,2026,J1326-30,201.75504,-30.07683,8.0,31.48,1,1,1902.4,0.142,16.5,12.81,0.02,12.72,0.05,14.18,0.0,0.73,,,,49.0,34.42,6.0,0.0,0.566,125.3,0.09,0.05,-1.14,0.73,0.09,,7.793,0.012,7.432,0.024,,,,,9.15,0.02,2.24,1.34,,,8.75,0.17,9.58,0.05,,,,,0
2468,2025,J1326-29,201.43352,-29.83341,2.0,63.45,1,1,4095.1,0.0978,13.1,8.38,0.01,7.97,0.02,4.23,10.0,0.01,1.44,0.01,10.0,117.44,,,,0.844,10.8,0.41,0.02,3.71,0.02,0.43,3.75,10.168,0.01,9.944,0.012,10.26,0.01,10.54,0.01,11.53,0.01,131.12,107.45,556.86,2083.98,10.85,0.1,10.09,0.06,1.07,0.09,-9.02,0.11,0
2469,2012,J1322-28,200.68439,-28.95312,9.0,18.44,1,1,990.2,0.0581,5.4,13.11,0.02,13.14,0.05,13.61,0.0,0.56,,,,25.0,18.84,6.0,12.0,0.8,145.3,-0.02,0.04,-0.47,0.56,-0.03,,7.214,0.011,6.807,0.021,,,,,8.57,0.02,1.73,0.93,,,8.47,0.15,8.63,0.09,,,,,0
2470,1972,J1315-28,198.87712,-28.28404,3.0,68.33,1,1,4416.2,0.0529,7.7,12.18,0.02,12.16,0.03,9.07,10.0,0.09,7.46,0.15,10.0,32.96,,,,0.826,139.7,0.01,0.03,2.78,0.05,0.01,2.94,8.712,0.011,8.318,0.015,8.28,0.04,8.27,0.06,10.07,0.01,3.95,2.19,5.0,9.65,9.88,0.12,9.92,0.08,-0.5,0.06,-10.42,0.1,0
2471,1976,J1316-27,199.18959,-27.88673,8.0,27.97,1,1,1645.1,0.1249,11.5,12.51,0.02,12.54,0.04,13.26,0.0,0.41,9.57,0.4,0.0,38.96,,,,0.903,90.8,-0.03,0.04,-0.72,0.41,-0.04,,7.813,0.011,7.402,0.019,,,,,9.17,0.01,2.98,1.59,,,9.09,0.14,9.32,0.06,,,,,0
2472,1845,J1254-31,193.65263,-31.88554,10.0,56.04,1,1,3571.1,0.1703,11.1,13.54,0.03,13.65,0.1,13.45,0.0,0.53,10.66,0.84,0.0,45.01,,,,0.608,105.4,-0.11,0.1,0.2,0.54,-0.08,,7.985,0.015,7.559,0.041,,,,,9.34,0.02,1.1,0.57,,,9.3,0.28,9.91,0.07,,,,,0
2473,1887,J1300-31,195.27518,-31.43518,5.0,53.63,1,1,3407.4,0.0508,6.5,12.74,0.01,12.71,0.03,10.02,10.0,0.12,9.27,0.66,0.0,52.04,,,,0.22,89.3,0.03,0.03,2.35,0.1,0.03,2.61,8.28,0.01,7.893,0.016,7.7,0.05,,,9.64,0.01,2.37,1.34,2.14,,9.41,0.12,9.64,0.09,-0.95,0.06,-10.59,0.11,0
2474,1895,J1301-30,195.18626,-30.7436,1.0,50.61,1,1,3198.4,0.075,9.2,12.23,0.01,12.02,0.03,8.63,10.0,0.03,6.89,0.13,10.0,36.65,,,,0.557,120.9,0.2,0.02,3.33,0.04,0.2,3.4,8.434,0.01,8.119,0.014,8.28,0.02,8.17,0.05,9.79,0.01,3.8,2.52,9.26,14.01,9.11,0.11,9.74,0.07,-0.49,0.06,-10.23,0.09,0
2475,1916,J1304-30,196.07138,-30.52615,-5.0,48.51,1,1,3056.9,0.0366,5.2,7.09,0.01,7.11,0.02,6.31,10.0,0.09,4.91,0.14,10.0,264.31,,,,0.824,13.3,-0.03,0.02,0.22,0.02,-0.04,0.39,10.453,0.01,10.042,0.012,,,8.21,0.14,11.81,0.01,432.34,230.4,,16.84,11.73,0.1,9.45,0.1,,,,,0
2476,1876,J1259-29b,194.94122,-29.60001,5.0,55.99,0,1,2815.8,0.0538,10.7,9.91,0.01,9.73,0.02,6.13,10.0,0.01,4.2,0.02,10.0,74.23,74.23,74.23,74.23,0.312,161.1,0.19,0.02,3.57,0.02,0.19,3.6,9.447,0.01,9.125,0.012,9.37,0.01,9.32,0.01,10.81,0.01,31.98,20.91,93.09,161.25,10.16,0.1,9.89,0.07,0.37,0.07,-9.52,0.1,1
2477,1886,J1300-29,195.08583,-29.12392,3.0,48.73,1,1,3065.8,0.0561,4.0,13.64,0.02,13.78,0.06,13.62,0.0,0.42,,,,25.28,,,,0.575,20.5,-0.14,0.06,0.15,0.42,-0.15,,7.838,0.012,7.382,0.025,,,,,9.2,0.02,1.04,0.5,,,9.15,0.18,9.35,0.11,,,,,0
2478,1875,J1259-29a,194.83234,-29.179,5.0,38.65,1,1,2372.4,0.0571,7.2,12.52,0.01,12.51,0.03,10.37,10.0,0.13,8.3,0.34,0.0,36.63,,,,0.627,112.4,0.0,0.03,2.03,0.12,0.0,2.45,8.089,0.01,7.692,0.016,7.42,0.06,7.34,0.14,9.45,0.01,2.94,1.62,2.17,3.56,9.28,0.12,9.4,0.08,-1.17,0.07,-10.57,0.1,0
