,recno,HCG,m_HCG,RAB1950,DEB1950,a,b,MType,T,morph,RVhel,e_RVhel,q_RVhel,Bmag,q_Bmag,DBmag,Rmag,q_Rmag,DRmag,B-R,BTmag,BTc,e_BTmag,MB-5log(h),Names
192,193,43,a,152.19199999999998,0.22377777777777774,21.1,8.1,Sb,5,,10163,38,0,15.94,0,27.0,14.4,0,32.9,1.48,15.69,15.13,0.1,-19.9,
193,194,43,b,152.14079166666664,0.2043333333333333,30.2,5.5,SBcd,8,m,10087,35,0,16.25,0,25.8,14.76,0,35.8,1.36,16.0,15.18,0.1,-19.9,
194,195,43,c,152.1619583333333,0.17908333333333332,15.0,8.3,SB0,1,m,9916,33,0,16.27,0,20.4,14.51,0,30.2,1.67,16.15,15.82,0.1,-19.2,
195,196,43,d,152.16345833333332,0.15966666666666665,8.9,8.0,Sc,7,,9630,37,0,17.35,0,15.5,15.98,0,16.9,1.34,17.08,16.82,0.1,-18.1,
196,197,43,e,152.16899999999998,0.19527777777777774,8.2,7.4,S0,1,,9636,68,0,17.8,0,14.9,15.79,0,22.1,1.82,17.4,17.2,0.5,-17.7,
197,198,43,f,152.186875,0.23841666666666664,21.2,5.9,Sbc,6,,19505,64,0,18.63,0,10.7,17.16,0,14.1,1.27,17.94,17.27,0.1,,
198,199,44,a,153.83599999999998,22.081916666666665,100.7,47.3,Sa,3,m,1293,24,0,12.43,3,130.5,11.14,3,141.4,1.28,11.99,11.52,0.05,-19.0,N3190 U5559
199,200,44,b,153.91479166666664,22.14355555555555,53.0,44.4,E2,0,m,1378,19,0,14.21,3,65.5,12.19,3,136.5,1.69,11.83,11.62,0.04,-19.1,N3193 U5562
200,201,44,c,153.72204166666666,21.938555555555553,56.8,33.4,SBc,7,m,1218,14,0,13.35,3,91.5,12.37,3,95.4,0.97,12.94,12.55,0.06,-17.9,N3185 U5554
201,202,44,d,153.76029166666663,22.12372222222222,67.7,27.4,Sd,9,m,1579,91,0,14.28,3,70.3,14.06,3,66.4,0.26,13.61,13.09,0.07,-17.9,N3187 U5556
202,203,45,a,153.96420833333332,59.38177777777777,41.4,13.5,Sa,3,m,21811,34,0,15.87,0,38.4,14.14,0,56.1,1.57,15.9,15.2,0.5,-21.5,U5564
203,204,45,b,153.92945833333332,59.356222222222215,11.4,9.4,S0a,2,,22195,29,0,16.95,0,21.3,15.33,0,23.2,1.59,17.59,17.24,0.1,-19.5,
204,205,45,c,153.9403333333333,59.33513888888888,12.5,2.9,Sc,7,,21799,72,0,18.34,0,11.5,16.78,0,13.1,1.4,18.4,17.6,0.7,-19.1,
205,206,45,d,153.97487499999997,59.38841666666666,8.5,5.2,S0,1,,20735,43,0,17.81,0,13.9,16.07,0,19.9,1.63,17.63,17.26,0.1,-19.4,
